time,STREAMOUTLET
1.000000000000,27236.86421280651
2.000000000000,23196.69145135535
3.000000000000,21641.26917255080
4.000000000000,20890.91761969005
5.000000000000,20469.72038754735
6.000000000000,20196.84197411661
7.000000000000,20001.91943356852
8.000000000000,19851.55678394005
9.000000000000,19728.63249653037
10.00000000000,19623.66333940759
11.00000000000,19531.05427991376
12.00000000000,19447.54860766216
13.00000000000,19370.82922582053
14.00000000000,19299.48642012727
15.00000000000,19232.54830799422
16.00000000000,19169.32533482619
17.00000000000,19109.29819597601
18.00000000000,19051.97211695947
19.00000000000,18997.07592487732
20.00000000000,18944.20018364433
21.00000000000,18893.17355327329
22.00000000000,18843.85161904623
23.00000000000,18796.08949032451
24.00000000000,18749.71383745867
25.00000000000,18704.60632212413
26.00000000000,18660.64770983606
27.00000000000,18617.67777501756
28.00000000000,18575.53775135406
29.00000000000,18534.08291116871
30.00000000000,18493.26460012139
31.00000000000,18453.10047719950
32.00000000000,18413.62247079764
33.00000000000,18374.79964683948
34.00000000000,18336.68595261972
35.00000000000,18299.21904212658
36.00000000000,18262.42340926628
37.00000000000,18226.24313674855
38.00000000000,18190.56787733718
39.00000000000,18155.43282634764
40.00000000000,18120.86055922924
41.00000000000,18086.79543514242
42.00000000000,18053.12070265290
43.00000000000,18019.90815596312
44.00000000000,17987.11752896881
45.00000000000,17954.78793915547
46.00000000000,17922.86994340159
47.00000000000,17891.25208906279
48.00000000000,17860.00357863308
49.00000000000,17829.11893957075
50.00000000000,17798.54849825925
51.00000000000,17768.35040131117
52.00000000000,17738.49457516705
53.00000000000,17708.96164408445
54.00000000000,17679.86255149973
55.00000000000,17651.05207065744
56.00000000000,17622.53684969940
57.00000000000,17594.30581731016
58.00000000000,17566.31726986577
59.00000000000,17538.60396902009
60.00000000000,17511.13592526240
61.00000000000,17483.92045735235
62.00000000000,17456.93267859533
63.00000000000,17430.14459095538
64.00000000000,17403.57363192873
65.00000000000,17377.21932167499
66.00000000000,17351.08664047895
67.00000000000,17325.17159297343
68.00000000000,17299.47256894605
69.00000000000,17273.97100231915
70.00000000000,17248.67032175134
71.00000000000,17223.56642653769
72.00000000000,17198.63790139547
73.00000000000,17173.91709993812
74.00000000000,17149.39574031145
75.00000000000,17125.04272637696
76.00000000000,17100.85959311172
77.00000000000,17079.66646261665
78.00000000000,17055.81903384567
79.00000000000,17032.15093873975
80.00000000000,17008.65012792161
81.00000000000,16985.32393201565
82.00000000000,16962.14624063700
83.00000000000,16939.14095957886
84.00000000000,16916.29654942749
85.00000000000,16893.59020448399
86.00000000000,16871.04002836647
87.00000000000,16848.64133360488
88.00000000000,16826.38438147348
89.00000000000,16804.55044344590
90.00000000000,16783.61972060730
91.00000000000,16763.76799332780
92.00000000000,16744.94136707468
93.00000000000,16730.97840836995
94.00000000000,16722.23947319351
95.00000000000,16711.44045833961
96.00000000000,16699.02011797770
97.00000000000,16685.38696985998
98.00000000000,16672.41722389396
99.00000000000,16658.94040229112
100.0000000000,16645.33084932053
101.0000000000,16631.12581277027
102.0000000000,16618.09712040778
103.0000000000,16605.03177685673
104.0000000000,16593.45391626978
105.0000000000,16583.20492219548
106.0000000000,16572.41800562379
107.0000000000,16560.21148193156
